No.,Time,Source,Destination,Protocol,Length,Info,Label
22,5.975218,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48820 [ACK] Seq=40 Ack=450 Win=65535 Len=0,1
23,5.975219,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48820 [ACK] Seq=40 Ack=1455 Win=65535 Len=0,1
24,5.975219,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48820 [ACK] Seq=40 Ack=2895 Win=65535 Len=0,1
25,5.97522,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48820 [ACK] Seq=40 Ack=3254 Win=65535 Len=0,1
26,5.981383,10.95.98.128,10.0.2.15,DNS,129,Standard query response 0x0971 A web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net A 163.70.146.60,0
27,5.981756,10.0.2.15,10.95.98.128,DNS,76,Standard query 0x6c4e AAAA web.whatsapp.com,0
28,6.033228,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,109,Application Data,0
29,6.033635,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48820  >  443 [ACK] Seq=3254 Ack=75 Win=65535 Len=0,1
30,6.096895,10.95.98.128,10.0.2.15,DNS,141,Standard query response 0x6c4e AAAA web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net AAAA 2a03:2880:f28a:ce:face:b00c:0:167,0
31,6.516914,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,2708,"Application Data, Application Data",0
32,6.517223,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48820  >  443 [ACK] Seq=3254 Ack=2709 Win=65535 Len=0,1
33,14.041275,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TLSv1.2,143,Application Data,0
34,14.042209,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=1 Ack=70 Win=65535 Len=0,1
35,14.658105,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,145,Application Data,0
36,14.658301,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=70 Ack=72 Win=65535 Len=0,1
37,15.3614,10.0.2.15,23.11.38.161,TCP,54,[TCP Dup ACK 15#1] 57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0,0
38,15.363414,23.11.38.161,10.0.2.15,TCP,60,[TCP Dup ACK 16#1] 80  >  57446 [ACK] Seq=1 Ack=2 Win=65535 Len=0,0
39,15.377498,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,179,Application Data,0
40,15.377679,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=70 Ack=177 Win=65535 Len=0,1
41,15.500076,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TLSv1.2,162,Application Data,0
42,15.50087,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=177 Ack=158 Win=65535 Len=0,1
43,17.152585,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TLSv1.2,104,Application Data,0
44,17.152842,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,1514,48826  >  443 [ACK] Seq=188 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52],1
45,17.152866,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,1514,48826  >  443 [ACK] Seq=1628 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52],1
46,17.152879,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,1514,48826  >  443 [ACK] Seq=3068 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52],1
47,17.152892,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,1514,48826  >  443 [ACK] Seq=4508 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52],1
48,17.152905,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,1514,"48826  >  443 [PSH, ACK] Seq=5948 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52]",1
49,17.15303,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,1514,48826  >  443 [ACK] Seq=7388 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52],1
50,17.153045,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,1514,48826  >  443 [ACK] Seq=8828 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52],1
51,17.153058,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,1514,48826  >  443 [ACK] Seq=10268 Ack=177 Win=65535 Len=1440 [TCP PDU reassembled in 52],1
52,17.153071,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TLSv1.2,721,Application Data,0
53,17.153238,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=177 Ack=188 Win=65535 Len=0,1
54,17.153239,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=177 Ack=1628 Win=65535 Len=0,1
55,17.153239,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=177 Ack=3068 Win=65535 Len=0,1
56,17.153239,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=177 Ack=4508 Win=65535 Len=0,1
57,17.15324,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=177 Ack=5948 Win=65535 Len=0,1
58,17.15324,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=177 Ack=7388 Win=65535 Len=0,1
59,17.15324,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=177 Ack=8828 Win=65535 Len=0,1
60,17.15324,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=177 Ack=10268 Win=65535 Len=0,1
61,17.153291,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=177 Ack=11708 Win=65535 Len=0,1
62,17.153291,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=177 Ack=12355 Win=65535 Len=0,1
63,18.95856,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,1514,443  >  48826 [ACK] Seq=177 Ack=12355 Win=65535 Len=1440 [TCP PDU reassembled in 65],1
64,18.958886,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=12355 Ack=1617 Win=65535 Len=0,1
65,18.960067,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,2954,"Application Data, Application Data",0
66,18.960188,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=12355 Ack=4497 Win=65535 Len=0,1
67,18.961145,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,4394,Application Data,0
68,18.961255,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=12355 Ack=8817 Win=65535 Len=0,1
69,18.962072,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,5834,Application Data,0
70,18.962209,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=12355 Ack=14577 Win=65535 Len=0,1
71,18.96304,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,3553,"Application Data, Application Data",0
72,18.963135,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=12355 Ack=18056 Win=65535 Len=0,1
73,18.972777,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,8055,"Application Data, Application Data",0
74,18.972876,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=12355 Ack=26037 Win=65535 Len=0,1
75,18.973509,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,1374,"443  >  48826 [PSH, ACK] Seq=26037 Ack=12355 Win=65535 Len=1300 [TCP PDU reassembled in 77]",1
76,18.973524,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=12355 Ack=27337 Win=65535 Len=0,1
77,18.980988,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,1560,Application Data,0
78,18.980989,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,2674,"443  >  48826 [PSH, ACK] Seq=28823 Ack=12355 Win=65535 Len=2600 [TCP PDU reassembled in 81]",1
79,18.981086,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=12355 Ack=28823 Win=65535 Len=0,1
80,18.981222,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=12355 Ack=31423 Win=65535 Len=0,1
81,18.985024,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,1560,Application Data,0
82,18.985108,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=12355 Ack=32909 Win=65535 Len=0,1
83,18.987518,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,1587,Application Data,0
84,18.98789,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=12355 Ack=34422 Win=65535 Len=0,1
85,18.989429,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,2669,Application Data,0
86,18.98943,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,2674,Application Data,0
87,18.989449,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=12355 Ack=37017 Win=65535 Len=0,1
88,18.989615,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=12355 Ack=39617 Win=65535 Len=0,1
89,18.996339,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,587,Application Data,0
90,18.996431,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=12355 Ack=40130 Win=65535 Len=0,1
91,19.784297,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TLSv1.2,104,Application Data,0
92,19.784656,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,1514,48826  >  443 [ACK] Seq=12385 Ack=40130 Win=65535 Len=1440 [TCP PDU reassembled in 95],1
93,19.784709,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,1514,48826  >  443 [ACK] Seq=13825 Ack=40130 Win=65535 Len=1440 [TCP PDU reassembled in 95],1
94,19.784728,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,1514,48826  >  443 [ACK] Seq=15265 Ack=40130 Win=65535 Len=1440 [TCP PDU reassembled in 95],1
95,19.784745,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TLSv1.2,414,Application Data,0
96,19.784856,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=40130 Ack=12385 Win=65535 Len=0,1
97,19.785395,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=40130 Ack=13825 Win=65535 Len=0,1
98,19.785395,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=40130 Ack=15265 Win=65535 Len=0,1
99,19.785395,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=40130 Ack=16705 Win=65535 Len=0,1
100,19.785396,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=40130 Ack=17045 Win=65535 Len=0,1
101,22.976241,10.0.2.15,163.70.146.60,TLSv1.2,93,Application Data,0
102,22.977012,163.70.146.60,10.0.2.15,TCP,60,443  >  50166 [ACK] Seq=1 Ack=40 Win=65535 Len=0,1
103,24.278605,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,204,Application Data,0
104,24.278757,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48826  >  443 [ACK] Seq=17045 Ack=40260 Win=65535 Len=0,1
105,24.285207,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TLSv1.2,147,Application Data,0
106,24.286132,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48826 [ACK] Seq=40260 Ack=17118 Win=65535 Len=0,1
107,24.363715,163.70.146.60,10.0.2.15,TLSv1.2,93,Application Data,0
108,24.363824,10.0.2.15,163.70.146.60,TCP,54,50166  >  443 [ACK] Seq=40 Ack=40 Win=65535 Len=0,1
109,25.600116,10.0.2.15,23.11.38.161,TCP,54,[TCP Dup ACK 15#2] 57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0,0
110,25.601147,23.11.38.161,10.0.2.15,TCP,60,[TCP Dup ACK 16#2] 80  >  57446 [ACK] Seq=1 Ack=2 Win=65535 Len=0,0
111,35.840524,10.0.2.15,23.11.38.161,TCP,54,[TCP Dup ACK 15#3] 57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0,0
112,35.841422,23.11.38.161,10.0.2.15,TCP,60,[TCP Dup ACK 16#3] 80  >  57446 [ACK] Seq=1 Ack=2 Win=65535 Len=0,0
113,38.979241,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,"443  >  48826 [RST, ACK] Seq=40260 Ack=17118 Win=65535 Len=0",1
114,39.000255,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TLSv1.2,149,Application Data,0
115,39.000891,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TCP,74,443  >  48820 [ACK] Seq=2709 Ack=3329 Win=65535 Len=0,1
116,39.000962,10.0.2.15,10.95.98.128,DNS,76,Standard query 0x41d9 HTTPS web.whatsapp.com,0
117,39.115086,10.0.2.15,10.95.98.128,DNS,76,Standard query 0x4a73 A web.whatsapp.com,0
118,39.341219,10.0.2.15,10.95.98.128,DNS,76,Standard query 0xab19 A web.whatsapp.com,0
119,41.782466,2a03:2880:f28a:ce:face:b00c:0:167,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,TLSv1.2,272,"Application Data, Application Data, Application Data",0
120,41.782958,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,2a03:2880:f28a:ce:face:b00c:0:167,TCP,74,48820  >  443 [ACK] Seq=3329 Ack=2907 Win=65535 Len=0,1
121,44.006146,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,fd17:625c:f037:2::3,DNS,96,Standard query 0x41d9 HTTPS web.whatsapp.com,0
122,44.123162,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,fd17:625c:f037:2::3,DNS,96,Standard query 0x4a73 A web.whatsapp.com,0
123,44.344524,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,fd17:625c:f037:2::3,DNS,96,Standard query 0xab19 A web.whatsapp.com,0
124,44.351869,fd17:625c:f037:2::3,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,DNS,149,Standard query response 0xab19 A web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net A 163.70.146.60,0
125,44.353786,10.0.2.15,163.70.146.60,TCP,74,52472  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=58327233 TSecr=0 WS=512,1
126,44.354207,10.0.2.15,163.70.146.60,TCP,74,52478  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=58327233 TSecr=0 WS=512,1
127,44.413898,fd17:625c:f037:2::3,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,DNS,178,Standard query response 0x41d9 HTTPS web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net SOA a.ns.whatsapp.net,0
128,44.493815,fd17:625c:f037:2::3,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,DNS,149,Standard query response 0x4a73 A web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net A 163.70.146.60,0
129,44.494657,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,fd17:625c:f037:2::3,DNS,96,Standard query 0x6f7d AAAA web.whatsapp.com,0
130,44.501004,fd17:625c:f037:2::3,fd17:625c:f037:2:86e2:1afc:8ad3:8e30,DNS,161,Standard query response 0x6f7d AAAA web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net AAAA 2a03:2880:f28a:ce:face:b00c:0:167,0
131,44.555794,163.70.146.60,10.0.2.15,TCP,60,"443  >  52472 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",1
132,44.555796,163.70.146.60,10.0.2.15,TCP,60,"443  >  52478 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460",1
133,44.55585,10.0.2.15,163.70.146.60,TCP,54,52472  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0,1
134,44.556045,10.0.2.15,163.70.146.60,TCP,54,52478  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0,1
135,44.559265,10.0.2.15,163.70.146.60,TLSv1.3,1952,Client Hello (SNI=web.whatsapp.com),0
136,44.560421,163.70.146.60,10.0.2.15,TCP,60,443  >  52478 [ACK] Seq=1 Ack=1461 Win=65535 Len=0,1
137,44.560422,163.70.146.60,10.0.2.15,TCP,60,443  >  52478 [ACK] Seq=1 Ack=1899 Win=65535 Len=0,1
138,44.563311,10.0.2.15,163.70.146.60,TLSv1.3,2329,Client Hello (SNI=web.whatsapp.com),0
139,44.564577,163.70.146.60,10.0.2.15,TCP,60,443  >  52472 [ACK] Seq=1 Ack=1461 Win=65535 Len=0,1
140,44.564578,163.70.146.60,10.0.2.15,TCP,60,443  >  52472 [ACK] Seq=1 Ack=2276 Win=65535 Len=0,1
141,44.566041,10.0.2.15,163.70.146.60,TLSv1.3,60,Change Cipher Spec,0
142,44.566772,163.70.146.60,10.0.2.15,TCP,60,443  >  52472 [ACK] Seq=1 Ack=2282 Win=65535 Len=0,1
143,46.080487,10.0.2.15,23.11.38.161,TCP,54,[TCP Dup ACK 15#4] 57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0,0
144,46.081281,23.11.38.161,10.0.2.15,TCP,60,[TCP Dup ACK 16#4] 80  >  57446 [ACK] Seq=1 Ack=2 Win=65535 Len=0,0
145,49.152804,fe80::a00:27ff:fee3:7c93,fd17:625c:f037:2::3,ICMPv6,86,Neighbor Solicitation for fd17:625c:f037:2::3 from 08:00:27:e3:7c:93,0
146,49.153459,fd17:625c:f037:2::3,fe80::a00:27ff:fee3:7c93,ICMPv6,86,"Neighbor Advertisement fd17:625c:f037:2::3 (rtr, sol, ovr) is at 52:54:00:12:35:00",0
147,50.775981,fe80::2,ff02::1,ICMPv6,134,Router Advertisement from 52:54:00:12:35:00,0
148,50.79299,fe80::a00:27ff:fee3:7c93,ff02::16,ICMPv6,110,Multicast Listener Report Message v2,0
149,51.816982,fe80::a00:27ff:fee3:7c93,ff02::16,ICMPv6,110,Multicast Listener Report Message v2,0
150,54.78443,10.0.2.15,163.70.146.60,TCP,54,[TCP Keep-Alive] 52472  >  443 [ACK] Seq=2281 Ack=1 Win=64240 Len=0,1
151,54.784969,10.0.2.15,163.70.146.60,TCP,54,[TCP Keep-Alive] 52478  >  443 [ACK] Seq=1898 Ack=1 Win=64240 Len=0,1
152,54.785155,163.70.146.60,10.0.2.15,TCP,60,[TCP Keep-Alive ACK] 443  >  52472 [ACK] Seq=1 Ack=2282 Win=65535 Len=0,1
153,54.785726,163.70.146.60,10.0.2.15,TCP,60,[TCP Keep-Alive ACK] 443  >  52478 [ACK] Seq=1 Ack=1899 Win=65535 Len=0,1
154,56.321133,10.0.2.15,23.11.38.161,TCP,54,[TCP Dup ACK 15#5] 57446  >  80 [ACK] Seq=1 Ack=1 Win=61672 Len=0,0
155,56.322059,23.11.38.161,10.0.2.15,TCP,60,[TCP Dup ACK 16#5] 80  >  57446 [ACK] Seq=1 Ack=2 Win=65535 Len=0,0
